"","symbol","EntrezGene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000036908","Unc93b1","54445",1791.19909786252,0.867703516764844,0.0644569291935451,13.4617569844103,2.62596907755059e-41,6.79504794099514e-39
"ENSMUSG00000018819","Lsp1","16985",429.680645661848,1.17616450989545,0.0875587946850552,13.43285405111,3.88158192363222e-41,9.83265989391678e-39
"ENSMUSG00000034116","Vav1","22324",511.797554049641,1.16320940134344,0.086592633025258,13.4331219724448,3.86756097325864e-41,9.83265989391678e-39
"ENSMUSG00000032440","Tgfbr2","21813",3385.01099213601,0.736654082212327,0.0552610768986657,13.330432983837,1.54001259036339e-40,3.86045864448906e-38
"ENSMUSG00000022148","Fyb","23880",563.739401747723,1.13875562216842,0.085971591058905,13.2457199889227,4.77678743311645e-40,1.1850864904943e-37
"ENSMUSG00000023367","Tmem176a","66058",1252.02825518392,0.827018978339242,0.062499689155658,13.2323694647428,5.70597374205353e-40,1.40116589900529e-37
"ENSMUSG00000022146","Osmr","18414",861.007340635162,1.02453045460783,0.0777285024642631,13.1808850309302,1.13056690782599e-39,2.74819117543761e-37
"ENSMUSG00000015950","Ncf1","17969",671.822843332695,1.23368533774388,0.0937410491850298,13.1605667791149,1.47971678710689e-39,3.56093844817272e-37
"ENSMUSG00000071068","Treml2","328833",98.2566072360325,2.58409330135217,0.196749362658997,13.1339348012572,2.10431686124547e-39,5.01389953127447e-37
"ENSMUSG00000002602","Axl","26362",6224.09259852497,0.542588874698665,0.0413759598957219,13.1136262715386,2.75122305955277e-39,6.49099832628798e-37
"ENSMUSG00000007613","Tgfbr1","21812",3573.19462335651,0.57050817066436,0.0437835200783445,13.0302033651821,8.238777329519e-39,1.92491433431917e-36
"ENSMUSG00000005087","Cd44","12505",859.140252759435,0.778250972664185,0.0606006211298054,12.8422936622578,9.50170167003432e-38,2.19863894893631e-35
"ENSMUSG00000002985","Apoe","11816",132053.635625206,0.545215513675645,0.0424689954503755,12.8379658594167,1.00479992860946e-37,2.30290574114158e-35
"ENSMUSG00000015355","Cd48","12506",130.756077887217,2.25011280835603,0.175891427741021,12.7926234794629,1.80283553676139e-37,4.09294690492102e-35
"ENSMUSG00000004552","Ctse","13034",56.555204767435,4.33877887877939,0.339834541601375,12.767327471581,2.49577400666367e-37,5.61315901592161e-35
"ENSMUSG00000005373","Mlxipl","58805",507.858317598557,1.23986998464446,0.0975578679623939,12.7090721695804,5.26554765381832e-37,1.17329078045498e-34
